Sr. No.,JOB NAME,JOB DESCRIPTION,Server Name,Script path,Script Name, Job Parameter ,"Filewatcher details
(OR)
Command Line (Only for perl/powershell scripts)","Execution time and Schedule
(Specific day or Calendar Name)",Job Frequency(Cyclic Interval if any),Job Dependency,Max Run Alarm,Error Codes and Error Messages (only in case of any special instructon based on return code),DL information for failure / max run alerts,Solution queue,Customer name,Environment name,foldername,Application,Sub Application,Created by,prefix_name,Time zone,Shout destination,Alert window,Variable,Server timezone,Sub_Product
BDG_LM26,BDG_LM_GET_FTP_IMP_BOM,Move IMP_BOM,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_GET_FTP_IMP_BOM,,,,BDG_LM_SET_LOADED_IMP_RESOURCE,5,,,,,,,,,,,,,,,,
BDG_LM27,BDG_LM_LOAD_IMP_BOM,Load IMP_BOM,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_LOAD_IMP_BOM,,,,BDG_LM_GET_FTP_IMP_BOM,5,,,,,,,,,,,,,,,,
BDG_LM28,BDG_LM_SET_LOADED_IMP_BOM,Set loaded IMP_BOM,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_SET_LOADED_IMP_BOM,,,,BDG_LM_LOAD_IMP_BOM,5,,,,,,,,,,,,,,,,
BDG_LM29,BDG_LM_GET_FTP_IMP_SUPPLIER,Move IMP_SUPPLIER,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_GET_FTP_IMP_SUPPLIER,,,,BDG_LM_SET_LOADED_IMP_BOM,5,,,,,,,,,,,,,,,,
BDG_LM30,BDG_LM_LOAD_IMP_SUPPLIER,Load IMP_SUPPLIER,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_LOAD_IMP_SUPPLIER,,,,BDG_LM_GET_FTP_IMP_SUPPLIER,5,,,,,,,,,,,,,,,,
BDG_LM31,BDG_LM_SET_LOADED_IMP_SUPPLIER,Set loaded IMP_SUPPLIER,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_SET_LOADED_IMP_SUPPLIER,,,,BDG_LM_LOAD_IMP_SUPPLIER,5,,,,,,,,,,,,,,,,
BDG_LM32,BDG_LM_GET_FTP_IMP_WAREHOUSE,Move IMP_WAREHOUSE,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_GET_FTP_IMP_WAREHOUSE,,,,BDG_LM_SET_LOADED_IMP_SUPPLIER,5,,,,,,,,,,,,,,,,
BDG_LM33,BDG_LM_LOAD_IMP_WAREHOUSE,Load IMP_WAREHOUSE,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_LOAD_IMP_WAREHOUSE,,,,BDG_LM_GET_FTP_IMP_WAREHOUSE,5,,,,,,,,,,,,,,,,
BDG_LM34,BDG_LM_SET_LOADED_IMP_WAREHOUSE,Set loaded IMP_WAREHOUSE,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_SET_LOADED_IMP_WAREHOUSE,,,,BDG_LM_LOAD_IMP_WAREHOUSE,5,,,,,,,,,,,,,,,,
BDG_LM35,BDG_LM_END_BATCH,End Load Master Data Batch,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_END_BATCH,,,,BDG_LM_SET_LOADED_IMP_WAREHOUSE,1,,,,,,,,,,,,,,,,
